id,season_id,rank_id,kill_death_ratio,average_damage,match_counts,is_party,create_date
148,11,12,0.85,269.15,2640,0,2021-10-11 12:46:46.153
149,11,21,10,5000,-1,0,2021-10-11 12:47:20.873
150,10,16,1.5,500,1000,0,2021-10-12 09:59:40.817
151,10,16,1.7,500,1000,0,2021-10-12 10:00:28.560
152,11,9,0.83,269.84,1017,0,2021-10-12 10:02:34.360
153,11,21,10,1500,30000,0,2021-10-12 10:06:18.643
154,11,21,0.7,3900,2000,0,2021-10-12 10:09:25.413
155,11,0,0.7,3900,2000,0,2021-10-12 10:09:55.540
156,11,0,0.7,14000,2000,0,2021-10-12 10:10:23.357
157,11,0,20,40,2000,0,2021-10-12 10:11:26.347
158,10,20,1.6,1200,600,1,2021-10-12 10:49:05.727
159,10,5,0,200,100,0,2021-10-16 14:49:18.063
160,10,5,24,500,-1,0,2021-10-17 01:40:59.463
161,10,5,0.24,500,-1,0,2021-10-17 01:41:32.183
162,10,5,0.24,500,-1,0,2021-10-17 01:46:51.830
163,10,5,0.24,500,-1,0,2021-10-17 01:46:52.067
164,10,5,0.15,500,-1,0,2021-10-17 01:47:19.613
165,10,5,0.19,118,-1,0,2021-10-17 02:18:18.017
166,10,16,1.5,500,800,0,2021-10-17 07:07:54.103
167,10,16,1.5,1000,800,0,2021-10-17 07:28:05.153
168,10,16,1.5,1000,100,0,2021-10-17 07:28:37.713
169,10,21,5,1000,100,0,2021-10-17 07:28:56.070
170,8,11,1.04,321,3066,0,2021-10-18 10:19:22.443
171,11,11,8,330.09,1470,1,2021-10-19 11:17:44.197
172,10,4,82,355.97,370,1,2021-10-19 11:20:25.723
173,11,11,80,330.09,1470,1,2021-10-19 11:21:21.053
174,10,16,1.06,600,500,1,2021-10-20 01:14:01.653
175,10,16,1.02,458,129,0,2021-10-20 11:16:43.320
176,12,16,0.85,500,2060,0,2021-10-20 14:14:57.243
177,10,16,2.08,606,1200,0,2021-10-20 14:15:14.710
178,10,16,50,1200,120,0,2021-10-20 14:15:57.697
179,9,16,1.02,516.32,486,0,2021-10-20 14:42:11.537
180,10,16,1.03,521,231,0,2021-10-20 15:55:31.420
181,10,16,2.5,521,231,0,2021-10-20 15:56:05.810
182,10,16,2.5,1200,231,0,2021-10-20 15:56:19.577
183,11,16,1.03,521,231,0,2021-10-20 15:56:42.567
184,11,9,0.45,500,-1,1,2021-10-21 01:20:44.787
185,0,16,2,746,12900,0,2021-10-21 09:43:44.490
186,0,16,2,602,11000,0,2021-10-21 09:46:56.360
187,11,0,0.68,272.7,421,0,2021-10-21 10:35:30.183
188,10,17,1.3,527,500,0,2021-10-22 05:20:37.540
189,10,22,1.07,384.64,651,0,2021-10-22 12:28:46.787
190,10,22,0.4,850,205,0,2021-10-23 14:53:10.833
191,10,22,0.32,159.15,339,0,2021-10-24 01:36:36.243
192,10,7,1.08,583,700,0,2021-10-25 05:36:11.053
193,10,21,20,4000,20000,0,2021-10-27 07:06:48.903
194,10,21,20,4000,10000,0,2021-10-27 07:12:50.517
195,10,21,99.99,99999.99,99999999,0,2021-10-27 08:25:40.097
196,10,21,99.99,99999.99,1,0,2021-10-27 08:26:09.800
197,10,12,0.97,514.98,247,0,2021-10-27 08:29:44.013
198,11,20,2.2,634.34,9704,0,2021-10-28 08:41:02.407
199,11,20,2.2,634.34,9704,1,2021-10-28 08:43:40.197
200,11,20,2.2,634.34,9704,0,2021-10-28 08:44:39.440
201,9,20,5.5,1200,1500,1,2021-10-28 08:49:45.923
202,10,16,1,500,500,0,2021-10-28 12:07:16.077
203,10,19,3,1000,500,0,2021-10-28 12:08:03.550
204,10,21,3,700,600,1,2021-10-28 12:27:48.193
205,8,21,1,500,800,1,2021-10-28 12:28:35.607
206,10,7,0.68,300,120,1,2021-10-28 14:47:21.470
207,11,13,0.93,800,4500,1,2021-10-28 14:48:01.547
208,10,10,1.02,300,4500,0,2021-10-29 07:02:05.043
209,11,13,0.93,320,-1,0,2021-10-29 11:07:52.813
210,10,16,1.04,387,448,0,2021-10-29 20:14:48.047
211,10,11,1.09,385.37,722,0,2021-10-30 02:06:30.510
212,12,22,10,354,18,1,2021-10-30 02:20:19.017
213,10,16,1.05,480,1300,0,2021-10-30 08:35:52.840
214,10,16,1,330,4930,0,2021-10-30 23:26:57.340
215,11,16,1,330,4930,0,2021-10-30 23:27:37.303
216,11,16,1.28,384,1150,0,2021-10-30 23:28:34.820
217,10,22,0.36,169.38,409,0,2021-10-31 11:31:26.937
