id,kill_death_ratio,average_damage,match_counts,is_party,rank_id
413,1.5,500,9800,0,17
414,1.67,560,-1,0,14
415,1.5,500,9800,0,16
416,1.03,360,8850,0,16
417,1.22,418.66,7510,0,15
418,0.91,533,187,0,13
419,2.56,1256,35001,0,8
420,2.56,1256,35001,0,22
421,2.56,1256,35001,0,21
422,0.74,200,10000,1,10
423,1.27,500,-1,0,16
424,1.26,498,720,0,17
425,8.8,1500,10000,0,21
426,1.5,200,1000,0,8
427,1.4,440,-1,0,19
428,1.56,495,1560,1,16
429,2,580,100,0,16
430,3.79,1193,30,0,12
431,0.53,200,1000,1,12
432,15,1600,6000,1,21
433,1.02,427,3480,0,16
434,2.14,500,23000,0,16
435,1,340,3000,1,16
436,1.12,577.89,734,0,19
437,1.5,450,500,0,16
438,1.5,500,300,0,17
439,1,500,3000,0,16
440,1.58,586,-1,0,17
441,1.5,580,8000,0,16
442,1.4,440,-1,0,16
443,3.07,796,3000,1,16
444,1.4,440,-1,1,16
445,0.8,320,-1,0,12
446,2.8,680,-1,1,16
447,1.8,800,-1,0,20
448,0.83,323,68000,1,14
449,1.23,396,3950,0,12
450,3.5,800,1200,0,21
451,1.23,396,3950,0,12
452,5,1100,15000,1,20
453,0.85,388,13000,0,12
454,0.66,300,500,0,22
455,0.79,327.75,1480,1,12
456,1.28,445,135000,0,16
457,0.92,450,1000,0,22
458,5,1100,1800,1,20
459,1.2,400,-1,0,17
460,0.77,380,2000,1,14
461,1.28,445.01,135000,0,16
462,1.28,445,135000,0,16
463,4.9,1200,1500,0,21
464,1.1,500,1000,0,16
465,5.7,970,-1,0,21
466,1.01,700,600,0,11
467,5.7,970.6,-1,0,21
468,1.07,332.69,2327,0,12
469,1.75,498,1110,0,16
470,1.64,531,10365,0,17
471,2.67,800,150000,0,20
472,1.5,666,1000,1,20
473,0.8,350,1000,1,12
474,0.9,305.89,598,1,16
475,3.3,800,1000,1,20
476,1.18,680,500,1,12
477,1.71,635,1500,0,16
478,0.94,900,-1,0,12
479,3,900,110,0,17
480,1.96,567.14,35,0,17
481,0.2,200,200,0,4
482,0.7,700,-1,0,8
483,2.75,670,600,0,22
484,36,4000,-1,0,21
485,20,4000,10000,0,21
486,5.3,1200,100,0,12
487,3,400,-1,0,8
488,0.9,311,400,0,8
489,1.2,386.41,3740,0,16
490,0.99,350,1200,0,13
491,1.45,448.88,1580,0,16
